"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH1",1,"F",5,7,3,13,NA,"IT","Y",NA,2,"IT","N",2,2,NA,NA,20060525,3,25,5,2006,4,8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",3,8
"Mo08HH10",10,"F",6,7,5,16,NA,"IT","N",NA,1,"IT","N",1,1,NA,NA,20060525,3,25,5,2006,4,0,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",4,3
"Mo08HH100",100,"M",5,NA,6,18,NA,"IT","Y",NA,1,"IT","N",2,1,NA,NA,20060526,3,26,5,2006,5,2,5,8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",5,5
"Mo08HH1000",1000,"F",1,8,2,12,NA,"","Y",NA,NA,"","",1,NA,NA,NA,20060612,3,12,6,2006,1,7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Germany",2,7
"Mo08HH1001",1001,"M",1,8,2,12,NA,"","Y",NA,2,"","",NA,NA,NA,NA,20060522,3,22,5,2006,1,7,14,37,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Germany",4,7
"Mo08HH1002",1002,"F",1,6,6,18,NA,"","Y",NA,1,"","",NA,NA,NA,NA,20060522,3,22,5,2006,1,7,11,33,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Germany",4,7
"Mo08HH1003",1003,"F",1,7,2,12,NA,"","Y",NA,1,"","",NA,NA,NA,NA,20060520,3,20,5,2006,6,7,31,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Germany",3,7
"Mo08HH1004",1004,"F",1,8,1,10,NA,"","Y",NA,2,"","",NA,NA,NA,NA,20060526,3,26,5,2006,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Germany",1,7
"Mo08HH1005",1005,"F",1,6,8,10,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060609,3,9,6,2006,5,7,41,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Germany",3,7
"Mo08HH1006",1006,"M",4,8,2,12,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060529,3,29,5,2006,1,7,9,17,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Germany",4,7
"Mo08HH1007",1007,"M",1,7,6,18,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060525,3,25,5,2006,4,7,14,15,19,39,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Germany",6,7
"Mo08HH1008",1008,"M",3,7,2,12,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060120,3,20,1,2006,5,6,6,41,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Germany",4,6
"Mo08HH1009",1009,"M",3,7,8,10,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060119,3,19,1,2006,4,3,5,6,23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Germany",5,6
"Mo08HH101",101,"F",5,7,3,11,NA,"IT","Y",NA,2,"IT","N",2,2,NA,NA,20060525,3,25,5,2006,4,4,12,17,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",5,4
"Mo08HH1010",1010,"F",1,6,6,18,NA,"","Y",NA,4,"","",NA,NA,NA,NA,20060118,3,18,1,2006,3,6,30,30,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Germany",4,6
"Mo08HH1011",1011,"M",4,7,2,12,NA,"","N",NA,1,"","",1,NA,NA,NA,20060611,3,11,6,2006,0,6,26,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany",3,6
"Mo08HH1012",1012,"F",1,7,2,12,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060520,3,20,5,2006,6,6,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Germany",3,6
"Mo08HH1013",1013,"F",3,7,1,10,NA,"","N",NA,1,"","",1,NA,NA,NA,20060118,3,18,1,2006,3,6,8,9,10,36,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany",6,6
"Mo08HH1014",1014,"M",3,7,3,13,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060615,3,15,6,2006,4,6,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Germany",3,6
"Mo08HH1015",1015,"F",1,8,8,10,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060612,3,12,6,2006,1,3,5,6,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"Germany",5,6
"Mo08HH1016",1016,"M",1,7,8,10,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060118,3,18,1,2006,3,6,52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Germany",3,6
"Mo08HH1017",1017,"M",3,6,3,13,NA,"","Y",NA,1,"","",NA,NA,NA,NA,20060615,3,15,6,2006,4,2,4,6,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Germany",5,6
"Mo08HH1018",1018,"M",1,7,3,13,NA,"","Y",NA,2,"","",1,NA,NA,NA,20060612,3,12,6,2006,1,1,6,24,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Germany",4,6
"Mo08HH1019",1019,"F",3,7,8,10,NA,"","Y",NA,1,"","",NA,NA,NA,NA,20060524,3,24,5,2006,3,6,12,14,38,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Germany",5,6
"Mo08HH102",102,"M",6,NA,6,18,NA,"IT","N",NA,1,"IT","",NA,NA,NA,NA,20060526,3,26,5,2006,5,1,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",4,3
"Mo08HH1020",1020,"M",1,5,2,12,NA,"","Y",NA,1,"","",1,NA,NA,NA,20060117,3,17,1,2006,2,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Germany",2,6
"Mo08HH1021",1021,"F",1,7,8,10,NA,"","Y",NA,2,"","",1,NA,NA,NA,20060618,3,18,6,2006,0,6,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Germany",3,6
"Mo08HH1022",1022,"M",4,7,2,12,NA,"","Y",NA,2,"","",1,NA,NA,NA,20060523,3,23,5,2006,2,6,15,16,37,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Germany",5,6
