"lower.age.limit","population","country"
0,2758749,"Italy"
5,2712790,"Italy"
10,2815246,"Italy"
15,2917476,"Italy"
20,3168918,"Italy"
25,3786584,"Italy"
30,4553115,"Italy"
35,4797005,"Italy"
40,4701976,"Italy"
45,4136438,"Italy"
50,3827458,"Italy"
55,3877700,"Italy"
60,3261850,"Italy"
65,3322436,"Italy"
70,2858787,"Italy"
75,2379461,"Italy"
80,1740071,"Italy"
85,709878,"Italy"
90,392976,"Italy"
95,82042,"Italy"
100,7525,"Italy"
0,3599277,"Germany"
5,3972734,"Germany"
10,4202434,"Germany"
15,4712246,"Germany"
20,4783932,"Germany"
25,4734399,"Germany"
30,5081555,"Germany"
35,6755465,"Germany"
40,7067208,"Germany"
45,6290328,"Germany"
50,5483650,"Germany"
55,4691640,"Germany"
60,4895592,"Germany"
65,5233504,"Germany"
70,3669980,"Germany"
75,2998567,"Germany"
80,2110631,"Germany"
85,821069,"Germany"
90,463011,"Germany"
95,96177,"Germany"
100,7844,"Germany"
0,27527,"Luxembourg"
5,29024,"Luxembourg"
10,28712,"Luxembourg"
15,26747,"Luxembourg"
20,26191,"Luxembourg"
25,29016,"Luxembourg"
30,34219,"Luxembourg"
35,39067,"Luxembourg"
40,38885,"Luxembourg"
45,34805,"Luxembourg"
50,30249,"Luxembourg"
55,26390,"Luxembourg"
60,20988,"Luxembourg"
65,19011,"Luxembourg"
70,17007,"Luxembourg"
75,14508,"Luxembourg"
80,8958,"Luxembourg"
85,4007,"Luxembourg"
90,1995,"Luxembourg"
95,486,"Luxembourg"
100,56,"Luxembourg"
0,1003697,"Netherlands"
5,988455,"Netherlands"
10,1006370,"Netherlands"
15,986571,"Netherlands"
20,965781,"Netherlands"
25,995972,"Netherlands"
30,1166514,"Netherlands"
35,1322499,"Netherlands"
40,1314503,"Netherlands"
45,1207411,"Netherlands"
50,1123490,"Netherlands"
55,1132140,"Netherlands"
60,840471,"Netherlands"
65,692550,"Netherlands"
70,590051,"Netherlands"
75,457461,"Netherlands"
80,332612,"Netherlands"
85,163534,"Netherlands"
90,62624,"Netherlands"
95,13073,"Netherlands"
100,1374,"Netherlands"
0,1787552,"Poland"
5,2041752,"Poland"
10,2542944,"Poland"
15,2914530,"Poland"
20,3323568,"Poland"
25,3120358,"Poland"
30,2707159,"Poland"
35,2383924,"Poland"
40,2549042,"Poland"
45,3108051,"Poland"
50,2948485,"Poland"
55,2403301,"Poland"
60,1515202,"Poland"
65,1562268,"Poland"
70,1399750,"Poland"
75,1081831,"Poland"
80,647883,"Poland"
85,208276,"Poland"
90,97094,"Poland"
95,18265,"Poland"
100,1439,"Poland"
0,3453670,"United Kingdom"
5,3558887,"United Kingdom"
10,3826567,"United Kingdom"
15,3960166,"United Kingdom"
20,3906577,"United Kingdom"
25,3755132,"United Kingdom"
30,4169859,"United Kingdom"
35,4694734,"United Kingdom"
40,4655093,"United Kingdom"
45,3989175,"United Kingdom"
50,3615150,"United Kingdom"
55,3902231,"United Kingdom"
60,3126452,"United Kingdom"
65,2710063,"United Kingdom"
70,2352113,"United Kingdom"
75,1964744,"United Kingdom"
80,1480606,"United Kingdom"
85,757996,"United Kingdom"
90,324245,"United Kingdom"
95,74738,"United Kingdom"
100,8553,"United Kingdom"
0,284683,"Finland"
5,296753,"Finland"
10,330425,"Finland"
15,319947,"Finland"
20,334180,"Finland"
25,331510,"Finland"
30,308108,"Finland"
35,352962,"Finland"
40,379090,"Finland"
45,381713,"Finland"
50,396158,"Finland"
55,414823,"Finland"
60,285732,"Finland"
65,243864,"Finland"
70,207345,"Finland"
75,180379,"Finland"
80,124857,"Finland"
85,58768,"Finland"
90,23004,"Finland"
95,4298,"Finland"
100,334,"Finland"
0,583492,"Belgium"
5,593148,"Belgium"
10,632157,"Belgium"
15,626921,"Belgium"
20,649588,"Belgium"
25,663176,"Belgium"
30,705878,"Belgium"
35,773177,"Belgium"
40,823305,"Belgium"
45,779436,"Belgium"
50,710061,"Belgium"
55,674177,"Belgium"
60,508701,"Belgium"
65,496720,"Belgium"
70,470384,"Belgium"
75,392469,"Belgium"
80,291166,"Belgium"
85,108599,"Belgium"
90,52117,"Belgium"
95,11126,"Belgium"
100,1087,"Belgium"
